label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	1194 m^2	0.6358	FREMONT	Ice Hockey	1298 kg	0.6776	983	234	888	0.8826	-0.1571	Ice Hockey	541	534
4	535 m^2	0.7506	Long Beach	tennis	484 kg	1.0805	976	822	795	0.6312	0.833	ice hockey	546	896
7	1173 m^2	-0.1847	San Francisco	boxing	964 kg	0.7395	1080	855	1375	0.5282	1.2588	track & field, baseball	0	917
2	1205 m^2	1.064	Stockton	basketball	868 kg	0.4337	1004	779	177	0.5751	1.1442	basketball, golf	858	1064
0	876 m^2	1.2449	Fresno	track & field	1024 kg	0.8037	839	867	998	1.1473	0.8599	tennis	1002	-25
6	788 m^2	0.825	Irvine	volleyball	920 kg	1.041	799	934	1385	1.0118	0.5227	boxing	1346	1004
1	824 m^2	0.5416	Fremont	ice hockey	1031 kg	0.9679	875	527	1185	1.0732	0.1897	ice hockey	813	394
6	516 m^2	0.8416	Bakersfield	volleyball	1057 kg	1.0717	437	1044	1022	1.35	-0.0164	boxing	1461	951
6	706 m^2	1.1775	Irvine	basketball	1439 kg	0.8285	657	1062	831	1.4154	0.7702	boxing	941	1311
2	1379 m^2	0.9079	Stockton	basketball	1261 kg	0.3177	1041	898	-24	0.6471	0.9842	basketball, running	1229	1084
7	737 m^2	0.0916	Oakland	soccer	N/A	0.5441	938	607	818	0.752	0.6077	baseball	310	980
3	1357 m^2	0.6831	Santa Ana	badminton	1111 kg	1.1671	822	983	635	0.75	1.1578	volleyball	889	590
2	1236 m^2	0.9556	Anaheim	track & field	985 kg	0.2778	1089	870	215	1.0067	None	running, golf	1285	857
3	1175 m^2	1.0474	Santa Ana	badminton	1096 kg	0.7659	1113	805	904	0.8352	1.0858	volleyball	1213	847
6	1266 m^2	0.8454	Bakersfield	N/A	1188 kg	0.8103	565	1103	925	0.8333	0.3153	boxing	887	924
6	1446 m^2	0.7248	Irvine	volleyball	864 kg	1.0364	581	942	972	0.6737	0.3502	boxing	714	834
3	1015 m^2	0.6518	Santa Ana	badminton	1220 kg	1.2366	967	1276	1234	0.9454	0.8758	volleyball	333	847
5	1241 m^2	0.6517	San Bernardino	running	793 kg	0.2349	1022	719	766	1.5542	0.9511	football	41	937
4	206 m^2	1.2545	Chula Vista	tennis	345 kg	0.9601	926	732	1283	0.3599	0.8279	motor sports	753	1663
2	751 m^2	0.893	Santa Clarita	basketball	1000 kg	0.3106	1110	1078	785	1.0122	0.7038		1126	658
6	1150 m^2	0.5933	Bakersfield	football	1137 kg	1.416	714	1172	871	0.8576	0.4784	boxing	1268	857
3	841 m^2	1.0058	Santa Ana	badminton	1078 kg	1.1954	1026	902	1238	1.1297	0.6887	running, golf	809	1055
7	796 m^2	0.1612	Moreno Valley	soccer	950 kg	0.3439	1282	952	1133	1.0022	0.9062	baseball, soccer	132	1124
2	1023 m^2	0.5153	Anaheim	basketball	1109 kg	0.2576	695	1075	471	0.9432	1.0839	volleyball	894	676
1	874 m^2	0.4443	Fremont	golf	720 kg	1.4855	1061	142	1139	0.8178	0.1323	ice hockey	1018	128
0	1073 m^2	0.7663	Fresno	track & field	955 kg	1.0174	1149	1261	1484	0.5	1.0177	tennis	1017	202
5	1401 m^2	0.7837	San Bernardino	boxing	1080 kg	-0.0508	1037	1259	843	0.7668	0.5823	football	-191	1161
7	1135 m^2	0.0424	Oakland	football	893 kg	0.5054	1166	1090	904	1.3563	0.929	baseball	-293	1223
5	1113 m^2	1.0462	Los Angeles	motor sports	743 kg	-0.1058	990	1068	1002	0.6832	0.7064	football	386	1246
6	1041 m^2	0.6289	Irvine	volleyball	833 kg	0.8853	473	542	1421	0.9617	0.3524	BOXING	405	912
4	435 m^2	0.9818	Chula Vista	tennis	663 kg	0.8911	1041	456	1039	0.1972	0.6419	motor sports	1143	1206
2	902 m^2	0.8591	Santa Clarita	basketball	1110 kg	0.4484	788	1153	467	0.9028	0.8868	running	710	435
7	736 m^2	-0.1435	oAKLAND	soccer	1108 kg	0.6614	964	972	727	1.1378	0.8508	soccer	-17	1334
